20010430~295205: 65645 records, 1119 hits
20010507~d1f359: 6533 records, 164 hits
20010507~dfe1b9: 24951 records, 704 hits
20010508~8e4061: 8411 records, 241 hits
20010713~724e57: 56739 records, 1532 hits
20010714~9c70ce: 8270 records, 217 hits
20010721~c232f2: 27533 records, 200 hits
20010722~0d16a4: 48174 records, 994 hits
20010722~0c878b: 9235 records, 243 hits
20010722~addedb: 81449 records, 1959 hits
20010731~d738ad: 16875 records, 659 hits
20010731~caafae: 7173 records, 162 hits
20010802~02f4ba: 14038 records, 349 hits
20010805~89ddca: 5032 records, 91 hits
20010817~eefeed: 7339 records, 398 hits
20010901~82f006: 9586 records, 163 hits
20010901~d519b2: 10140 records, 169 hits
20010901~1c7ed0: 23965 records, 339 hits
20010901~e88b39: 12238 records, 240 hits
20010901~b18f7f: 51567 records, 901 hits
20010901~7a91ae: 39766 records, 929 hits
20010903~236cf1: 8464 records, 149 hits
20010903~df4ddd: 34315 records, 689 hits
20010903~6dd064: 9723 records, 400 hits
20010903~d1cbaf: 26854 records, 778 hits
20010903~d823ad: 5118 records, 237 hits
20010906~57bee6: 10499 records, 316 hits
20010906~9f9f0c: 21067 records, 568 hits
20010914~f3b5d0: 10690 records, 178 hits
20010915~34c93b: 47843 records, 668 hits
20010915~e2e897: 34437 records, 949 hits
20010915~6cb162: 12269 records, 483 hits
20010915~91cc39: 11627 records, 349 hits
20010915~313233: 4079 records, 175 hits
20010915~00448e: 27733 records, 668 hits
20010916~13b64c: 8297 records, 247 hits
20010916~665bf3: 3232 records, 152 hits
20010916~beaa73: 10563 records, 407 hits
20010916~f2960b: 2386 records, 130 hits
20010919~ccfe45: 4169 records, 192 hits
20010919~beb9a3: 4845 records, 115 hits
20010919~6dc42d: 23614 records, 327 hits
20010919~79c8ee: 15380 records, 236 hits
20010919~b8324d: 8852 records, 90 hits
20010920~c995ad: 55267 records, 851 hits
20010920~d8a897: 8475 records, 166 hits
