110902.1: 68902 records, 74.3 min, game type 3, 2 names
111302.1: 38178 records, 31.4 min, game type 3, 2 names
111402.1~ccbfeb: 11515 records, 8.5 min, game type 3, 4 names
111502.1~a686d0: 10035 records, 16.0 min, game type 3, 4 names
111502.2~1889c2: 2823 records, 8.4 min, game type 3, 4 names
112002.1: 15220 records, 19.5 min, game type 3, 2 names
112202.1~b63b2e: 22677 records, 21.5 min, game type 3, 8 names
112202.2~705a60: 91276 records, 62.4 min, game type 3, 4 names
112202.3: 41105 records, 20.9 min, game type 3, 2 names
112202.4: 40818 records, 22.3 min, game type 3, 2 names
112202.5: 79028 records, 43.9 min, game type 3, 2 names
112402.1: 28015 records, 35.2 min, game type 3, 2 names
112402.2: 14619 records, 24.3 min, game type 3, 2 names
121002.1: 42688 records, 64.5 min, game type 3, 6 names
021503.1~ee58bf: 26610 records, 33.8 min, game type 3, 4 names
021503.2~ea7ae3: 41437 records, 40.3 min, game type 3, 4 names
022203.1~9b1005: 14643 records, 19.1 min, game type 3, 2 names
022203.2~4036f4: 11564 records, 15.6 min, game type 3, 2 names
022203.3~575cb6: 22890 records, 34.5 min, game type 3, 2 names
022603.1~8d0c9e: 9123 records, 12.3 min, game type 3, 4 names
022603.2~bafab3: 10647 records, 11.1 min, game type 3, 4 names
022603.3~6c7b23: 4696 records, 8.9 min, game type 3, 4 names
022603.4~a8414a: 11636 records, 14.5 min, game type 3, 4 names
022603.5~4fedfd: 18105 records, 20.9 min, game type 3, 4 names
031403.1: 54025 records, 48.4 min, game type 3, 4 names
032903.1~4efff4: 20892 records, 11.7 min, game type 3, 4 names
032903.2~1ec501: 17501 records, 17.5 min, game type 3, 4 names
043003.1~94875b: 38151 records, 18.0 min, game type 3, 4 names
043003.2~a9b7ba: 27240 records, 20.8 min, game type 3, 4 names
050103.1~a08a9f: 11835 records, 10.6 min, game type 3, 4 names
050103.2~78e3cd: 44991 records, 37.5 min, game type 3, 5 names
061903.1~2d9503: 109396 records, 82.8 min, game type 3, 2 names
061903.2~53ebd8: 148959 records, 110.8 min, game type 3, 2 names
061903.3~fe868c: 20066 records, 14.2 min, game type 3, 2 names
061903.4~ca2c7e: 24358 records, 19.1 min, game type 3, 2 names
061903.5~14852f: 9162 records, 7.9 min, game type 3, 2 names
061903.6~28e9a2: 15474 records, 14.0 min, game type 3, 2 names
061903.7~02d676: 18727 records, 13.9 min, game type 3, 4 names
062003.1~aafe87: 15085 records, 15.8 min, game type 3, 4 names
062003.2~ec128a: 5867 records, 6.4 min, game type 3, 4 names
062003.3~4fb79c: 6186 records, 9.5 min, game type 3, 4 names
062003.4~e471e8: 14376 records, 15.8 min, game type 3, 4 names
062003.5~c2d819: 13039 records, 14.6 min, game type 3, 4 names
062003.6~47985b: 12915 records, 12.0 min, game type 3, 4 names
062503.2~55e6e1: 16275 records, 15.3 min, game type 3, 4 names
062603.1~25e061: 42816 records, 30.8 min, game type 3, 4 names
062603.2~250d9a: 163938 records, 131.8 min, game type 3, 4 names
062903.2~74c2b9: 42702 records, 45.6 min, game type 3, 2 names
062903.3~2ddeca: 32617 records, 34.6 min, game type 3, 2 names
071503.1~10f816: 18374 records, 23.6 min, game type 3, 4 names
071503.2~d9a8d9: 8199 records, 16.2 min, game type 3, 4 names
072203.1~ae6baa: 8951 records, 9.0 min, game type 3, 2 names
072203.2: 8126 records, 8.3 min, game type 3, 2 names
